title	address	lat	lng	type
Grand Asia Hotel	Jl. Boulevard No.10, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1556638999999995	119.4381332	Hotel
OYO 308 Grand Pacifik Hotel	Jl. Gunung Latimojong No.43, Gaddong, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90157, Indonesia	-5.1346991	119.42005739999999	Hotel
d'primahotel Pattimura Makassar	Jl. Pattimura No.9, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia	-5.1363866	119.4068449	Hotel
Wthree Premier Hotel Makassar	Jl. Lagaligo No.34, Mangkura, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90114, Indonesia	-5.1472731	119.41479489999999	Hotel
SPOT ON 2330 Pondok Grand Mamoa	I, Jl. Mamoa Raya Jl. Sultan Alauddin 3 Lrg. 5 No.B, 90221, Indonesia	-5.133864	119.40529	Hotel
Hotel Grand Town	Komp Pasar Segar, Jl. Pengayoman Blk. E No.9B, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.162136299999999	119.45156259999999	Hotel
Hotel Grand Imawan	Jl. Pengayoman No.36, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1589431999999995	119.4439486	Hotel
Hotel Makassar Golden	Jl. Ps. Ikan No.52, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.1383149999999995	119.40545399999999	Hotel
Hotel Pacific	Jalan Botolempangan Raya No.53, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia	-5.1429901	119.4126441	Hotel
Hotel Meliã Makassar	Jl. A. Mappanyukki No.17, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90134, Indonesia	-5.1504294	119.41477809999999	Hotel
Hotel Crown Inn	Jl. Gn. Lompobattang No.58, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.134846	119.41502	Hotel
Hotel Remcy Panakkukang Makassar	Jl. Boulevard Blok F5 No.9, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1563563	119.4400787	Hotel
ibis Makassar City Center	Jl. Maipa No.8, Sulawesi Selatan 90112, Indonesia	-5.144647	119.410461	Hotel
Grand Asia Hotel	Jl. Boulevard No.10, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.155664	119.438133	Hotel
OYO 308 Grand Pacifik Hotel	Jl. Gunung Latimojong No.43, Gaddong, Kec. Bontoala, Kota Makassar, Sulawesi Selatan 90157, Indonesia	-5.1346991	119.42005739999999	Hotel
Hotel Makassar Golden	Jl. Ps. Ikan No.52, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111, Indonesia	-5.1383149999999995	119.40545399999999	Hotel
d'primahotel Pattimura Makassar	Jl. Pattimura No.9, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia	-5.1363866	119.4068449	Hotel
Hotel Remcy Panakkukang Makassar	Jl. Boulevard Blok F5 No.9, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1563563	119.4400787	Hotel
Hotel Surya Indonesia	Jl. Daeng Tompo No.3, Maloku, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90112, Indonesia	-5.1396703	119.40914939999999	Hotel
Red Cendrawasih Hotel	Ruko Cendrawasih Square F1-5, Jl. Cendrawasih No.452, Sambung Jawa, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90126, Indonesia	-5.1731114	119.4088287	Hotel
Lobby Hotel Aston Makassar	VC76+972, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia	-5.1366035	119.41065479999999	Hotel
TREE HOTEL	Jl. Pandang Raya No.12, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1581354	119.45171359999999	Hotel
Hotel Yasmin Makassar RedPartner	Jl. Jampea No.5, Pattunuang, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90174, Indonesia	-5.1318867	119.40733999999999	Hotel
Hotel Singgasana	Jl. Kajaolalido No.16, Baru, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90013, Indonesia	-5.1369511	119.4102697	Hotel
Hotel Pacific	Jalan Botolempangan Raya No.53, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia	-5.1429901	119.4126441	Hotel
Hotel Crown Inn	Jl. Gn. Lompobattang No.58, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia	-5.134846	119.41502	Hotel
Scarlet Hotel Makassar	Jl. Bonto Mangape No.13, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221, Indonesia	-5.171089299999999	119.4290712	Hotel
M Boutique Hotel	Jl. G. Bawakaraeng No.39-41, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90156, Indonesia	-5.1353437	119.4167581	Hotel
Travellers Hotel Phinisi	Jl. Lamaddukelleng Buntu No.59, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113, Indonesia	-5.149348	119.4109469	Hotel
d'primahotel Panakkukang Makassar	Jl. Pelita Raya No.8, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1545472	119.43611159999999	Hotel
OYO 1560 Capital Hotel	000, Jl. Pengayoman No.28, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Barat 90222, Indonesia	-5.160089	119.4487339	Hotel
HOTEL DIAMOND	Jl. Boulevard Ruko Cemp. Jl. Boulevard No.28, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.155844699999999	119.4458947	Hotel
ATRIA INN MAKASSAR	Jl. Ance Daeng Ngoyo No.8A, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia	-5.1514	119.443181	Hotel
KHAS Makassar Hotel	Jl. A. Mappanyukki No.49, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia	-5.1527987	119.414881	Hotel
