title	address	lat	lng	type
SMP Negeri 3	Jl. Benteng Somba Opu No.221, Jenetallasa, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 92161, Indonesia	-5.2109337	119.42995099999999	Sekolah Menengah Pertama
SMP Negeri 12 Makassar	VF5W+28M, Komp. Perumahan Dosen Unhas Tamalanrea, Jl. P. Kemerdekaan Km.10, Jl. Perintis Kemerdekaan, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia	-5.1428427999999995	119.4958599	Sekolah Menengah Pertama
SMP Negeri 37 Makassar	JL Galangan Kapal I, Pannampu, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90215, Indonesia	-5.116345	119.4298125	Sekolah Menengah Pertama
SMP PGRI 2	Jl. Singa No.56, Bonto Biraeng, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132, Indonesia	-5.158811399999999	119.41999779999999	Sekolah Menengah Pertama
SMP Negeri 20 Makassar	Jl. Inspeksi Pam No.20, Manggala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90222, Indonesia	-5.1590387	119.49807039999999	Sekolah Menengah Pertama
SMP Negeri 30 Makassar	VG74+HV8, Jl. Tamalanrea Raya, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia	-5.1360852	119.507188	Sekolah Menengah Pertama
SMPN 11 MAKASSAR	JL KAPASA No.1, Kapasa, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90241, Indonesia	-5.1048089999999995	119.492401	Sekolah Menengah Pertama
SMP Negeri 1 Pallangga	QCGV+4VJ, Jl. Pembangunan, Tetebatu, Kec. Pallangga, Kabupaten Gowa, Sulawesi Selatan 92161, Indonesia	-5.2246730999999995	119.44465439999999	Sekolah Menengah Pertama
SMP Negeri 2	QCF9+PPQ, Kanjilo, Barombong, Gowa Regency, South Sulawesi 90225, Indonesia	-5.225656	119.4193581	Sekolah Menengah Pertama
Sekolah Menengah Pertama Negeri 29 Makassar	Jl. A. Mappanyukki No.66, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia	-5.1570538	119.4146693	Sekolah Menengah Pertama
